date,P,T,E,Q,Qmm
08/05/1999,0.0,16.0,5.47,0.0,0.0
09/05/1999,0.0,18.0,6.37,0.0,0.0
10/05/1999,0.0,18.8,6.33,0.0,0.0
11/05/1999,0.6,20.0,5.2,0.0,0.0
12/05/1999,0.0,20.0,6.64,0.0,0.0
13/05/1999,0.0,21.6,6.69,0.0,0.0
14/05/1999,0.0,21.9,6.53,0.0,0.0
15/05/1999,0.0,22.4,6.86,0.0,0.0
16/05/1999,0.0,22.6,7.31,0.0,0.0
17/05/1999,0.0,22.5,7.78,0.0,0.0
18/05/1999,0.0,21.5,6.93,0.0,0.0
19/05/1999,0.0,22.1,7.74,0.0,0.0
20/05/1999,0.0,20.5,7.26,0.0,0.0
21/05/1999,0.0,23.2,8.02,0.0,0.0
22/05/1999,0.3,24.6,8.28,0.0,0.0
23/05/1999,0.1,22.0,6.93,0.0,0.0
24/05/1999,1.0,18.3,5.71,0.0,0.0
25/05/1999,3.1,16.6,4.33,0.0,0.0
26/05/1999,0.0,18.4,5.17,0.0,0.0
27/05/1999,0.2,20.4,5.76,0.0,0.0
28/05/1999,1.1,22.6,6.16,0.0,0.0
29/05/1999,0.0,22.8,7.23,0.0,0.0
